Energy Source,Unit,Quantity,CO2 Emission (tonnes),Carbon Footprint Value (kg CO2e)
Electricity,kWh,323.98,0.075487,75.49
Electricity,kWh,6367.74,1.483683,1483.68
Electricity,kWh,3150.42,0.734048,734.05
Electricity,kWh,5090.62,1.186114,1186.11
Electricity,kWh,9076.59,2.114845,2114.85
Electricity,kWh,2500.43,0.5826,582.6
Electricity,kWh,4109.73,0.957567,957.57
Electricity,kWh,7557.96,1.761005,1761.0
Electricity,kWh,2295.69,0.534896,534.9
Electricity,kWh,779.03,0.181514,181.51
Electricity,kWh,2904.62,0.676776,676.78
Electricity,kWh,1620.6,0.3776,377.6
Electricity,kWh,9297.68,2.166359,2166.36
Electricity,kWh,8083.12,1.883367,1883.37
Electricity,kWh,6337.7,1.476684,1476.68
Electricity,kWh,8715.89,2.030802,2030.8
Electricity,kWh,8038.68,1.873012,1873.01
Electricity,kWh,1873.83,0.436602,436.6
Electricity,kWh,8926.66,2.079912,2079.91
Electricity,kWh,5398.03,1.257741,1257.74
Electricity,kWh,8076.33,1.881785,1881.78
Electricity,kWh,8961.95,2.088134,2088.13
Electricity,kWh,3186.85,0.742536,742.54
Electricity,kWh,1109.42,0.258495,258.49
Electricity,kWh,2287.07,0.532887,532.89
Electricity,kWh,4276.81,0.996497,996.5
Electricity,kWh,8181.97,1.906399,1906.4
Electricity,kWh,8608.7,2.005827,2005.83
Electricity,kWh,79.45,0.018512,18.51
Electricity,kWh,5112.37,1.191182,1191.18
Electricity,kWh,4179.94,0.973926,973.93
Electricity,kWh,2228.86,0.519324,519.32
Electricity,kWh,1207.46,0.281338,281.34
Electricity,kWh,3382.78,0.788188,788.19
Electricity,kWh,9429.67,2.197113,2197.11
Electricity,kWh,3238.8,0.75464,754.64
Electricity,kWh,5192.72,1.209904,1209.9
Electricity,kWh,7033.16,1.638726,1638.73
Electricity,kWh,3642.66,0.84874,848.74
Electricity,kWh,9718.1,2.264317,2264.32
Electricity,kWh,9624.85,2.24259,2242.59
Electricity,kWh,2525.31,0.588397,588.4
Electricity,kWh,4977.51,1.15976,1159.76
Electricity,kWh,3015.77,0.702674,702.67
Electricity,kWh,2855.56,0.665345,665.35
Electricity,kWh,378.5,0.088191,88.19
Electricity,kWh,6099.55,1.421195,1421.2
Electricity,kWh,5031.76,1.1724,1172.4
Electricity,kWh,524.27,0.122155,122.15
Electricity,kWh,2793.68,0.650927,650.93
Electricity,kWh,9083.58,2.116474,2116.47
Electricity,kWh,2403.22,0.55995,559.95
Electricity,kWh,1457.5,0.339597,339.6
Electricity,kWh,4899.63,1.141614,1141.61
Electricity,kWh,9856.65,2.296599,2296.6
Electricity,kWh,2428.13,0.565754,565.75
Electricity,kWh,6724.63,1.566839,1566.84
Electricity,kWh,7618.58,1.775129,1775.13
Electricity,kWh,2384.0,0.555472,555.47
Electricity,kWh,7284.88,1.697377,1697.38
Electricity,kWh,3684.15,0.858407,858.41
Electricity,kWh,6326.74,1.47413,1474.13
Electricity,kWh,6338.96,1.476978,1476.98
Electricity,kWh,5362.39,1.249437,1249.44
Electricity,kWh,911.99,0.212494,212.49
Electricity,kWh,8354.67,1.946638,1946.64
Electricity,kWh,3214.59,0.748999,749.0
Electricity,kWh,1873.32,0.436484,436.48
Electricity,kWh,417.34,0.09724,97.24
Electricity,kWh,5913.02,1.377734,1377.73
Electricity,kWh,6778.87,1.579477,1579.48
Electricity,kWh,175.71,0.04094,40.94
Electricity,kWh,5125.81,1.194314,1194.31
Electricity,kWh,2272.69,0.529537,529.54
Electricity,kWh,6455.28,1.50408,1504.08
Electricity,kWh,1751.92,0.408197,408.2
Electricity,kWh,6912.47,1.610606,1610.61
Electricity,kWh,3873.49,0.902523,902.52
Electricity,kWh,9367.93,2.182728,2182.73
Electricity,kWh,1383.83,0.322432,322.43
Electricity,kWh,3417.25,0.796219,796.22
Electricity,kWh,1143.6,0.266459,266.46
Electricity,kWh,9247.69,2.154712,2154.71
Electricity,kWh,8774.62,2.044486,2044.49
Electricity,kWh,2586.84,0.602734,602.73
Electricity,kWh,6603.24,1.538555,1538.55
Electricity,kWh,8174.05,1.904554,1904.55
Electricity,kWh,5556.46,1.294655,1294.66
Electricity,kWh,5301.21,1.235182,1235.18
Electricity,kWh,2426.1,0.565281,565.28
Electricity,kWh,940.1,0.219043,219.04
Electricity,kWh,8973.19,2.090753,2090.75
Electricity,kWh,9005.18,2.098207,2098.21
Electricity,kWh,6334.68,1.47598,1475.98
Electricity,kWh,3396.91,0.79148,791.48
Electricity,kWh,3498.6,0.815174,815.17
Electricity,kWh,7262.3,1.692116,1692.12
Electricity,kWh,8972.13,2.090506,2090.51
Electricity,kWh,8871.99,2.067174,2067.17
Electricity,kWh,7800.96,1.817624,1817.62
Electricity,kWh,6423.9,1.496769,1496.77
Electricity,kWh,850.56,0.19818,198.18
Electricity,kWh,1624.67,0.378548,378.55
Electricity,kWh,8986.56,2.093868,2093.87
Electricity,kWh,6068.23,1.413898,1413.9
Electricity,kWh,101.88,0.023738,23.74
Electricity,kWh,1023.7,0.238522,238.52
Electricity,kWh,6638.38,1.546743,1546.74
Electricity,kWh,60.57,0.014113,14.11
Electricity,kWh,1616.47,0.376638,376.64
Electricity,kWh,5491.85,1.279601,1279.6
Electricity,kWh,6922.03,1.612833,1612.83
Electricity,kWh,6523.09,1.51988,1519.88
Electricity,kWh,2250.45,0.524355,524.35
Electricity,kWh,7124.67,1.660048,1660.05
Electricity,kWh,2380.12,0.554568,554.57
Electricity,kWh,3260.74,0.759752,759.75
Electricity,kWh,7467.45,1.739916,1739.92
Electricity,kWh,6499.83,1.51446,1514.46
Electricity,kWh,8493.74,1.979041,1979.04
Electricity,kWh,6579.55,1.533035,1533.04
Electricity,kWh,5687.4,1.325164,1325.16
Electricity,kWh,945.81,0.220374,220.37
Electricity,kWh,3683.48,0.858251,858.25
Electricity,kWh,2659.37,0.619633,619.63
Electricity,kWh,2447.46,0.570258,570.26
Electricity,kWh,9730.38,2.267179,2267.18
Electricity,kWh,3937.05,0.917333,917.33
Electricity,kWh,8921.55,2.078721,2078.72
Electricity,kWh,6315.07,1.471411,1471.41
Electricity,kWh,7950.16,1.852387,1852.39
Electricity,kWh,5031.34,1.172302,1172.3
Electricity,kWh,5773.27,1.345172,1345.17
Electricity,kWh,4930.25,1.148748,1148.75
Electricity,kWh,1960.48,0.456792,456.79
Electricity,kWh,7227.3,1.683961,1683.96
Electricity,kWh,2814.92,0.655876,655.88
Electricity,kWh,252.92,0.05893,58.93
Electricity,kWh,6458.27,1.504777,1504.78
Electricity,kWh,1779.34,0.414586,414.59
Electricity,kWh,9405.18,2.191407,2191.41
Electricity,kWh,9539.75,2.222762,2222.76
Electricity,kWh,9149.5,2.131833,2131.83
Electricity,kWh,3707.89,0.863938,863.94
Electricity,kWh,164.41,0.038308,38.31
Electricity,kWh,9283.9,2.163149,2163.15
Electricity,kWh,4287.56,0.999001,999.0
Electricity,kWh,9666.88,2.252383,2252.38
Electricity,kWh,9636.56,2.245318,2245.32
Electricity,kWh,8531.56,1.987853,1987.85
Electricity,kWh,2951.54,0.687709,687.71
Electricity,kWh,3857.13,0.898711,898.71
Electricity,kWh,8512.86,1.983496,1983.5
Electricity,kWh,3176.05,0.74002,740.02
Electricity,kWh,1703.23,0.396853,396.85
Electricity,kWh,5572.44,1.298379,1298.38
Electricity,kWh,9362.19,2.18139,2181.39
Electricity,kWh,6963.34,1.622458,1622.46
Electricity,kWh,5704.91,1.329244,1329.24
Electricity,kWh,980.79,0.228524,228.52
Electricity,kWh,6153.92,1.433863,1433.86
Electricity,kWh,9900.64,2.306849,2306.85
Electricity,kWh,1409.44,0.3284,328.4
Electricity,kWh,5188.11,1.20883,1208.83
Electricity,kWh,8774.96,2.044566,2044.57
Electricity,kWh,7410.28,1.726595,1726.6
Electricity,kWh,6973.19,1.624753,1624.75
Electricity,kWh,7027.82,1.637482,1637.48
Electricity,kWh,3601.32,0.839108,839.11
Electricity,kWh,2942.98,0.685714,685.71
Electricity,kWh,8095.52,1.886256,1886.26
Electricity,kWh,8103.03,1.888006,1888.01
Electricity,kWh,8672.05,2.020588,2020.59
Electricity,kWh,9133.27,2.128052,2128.05
Electricity,kWh,5118.31,1.192566,1192.57
Electricity,kWh,5020.15,1.169695,1169.69
Electricity,kWh,7984.97,1.860498,1860.5
Electricity,kWh,6503.14,1.515232,1515.23
Electricity,kWh,7022.65,1.636277,1636.28
Electricity,kWh,7959.97,1.854673,1854.67
Electricity,kWh,8901.15,2.073968,2073.97
Electricity,kWh,3386.57,0.789071,789.07
Electricity,kWh,3762.07,0.876562,876.56
Electricity,kWh,948.88,0.221089,221.09
Electricity,kWh,5787.02,1.348376,1348.38
Electricity,kWh,369.06,0.085991,85.99
Electricity,kWh,4661.32,1.086088,1086.09
Electricity,kWh,5431.02,1.265428,1265.43
Electricity,kWh,2872.55,0.669304,669.3
Electricity,kWh,5912.42,1.377594,1377.59
Electricity,kWh,314.7,0.073325,73.33
Electricity,kWh,383.11,0.089265,89.26
Electricity,kWh,8227.78,1.917073,1917.07
Electricity,kWh,3608.3,0.840734,840.73
Electricity,kWh,1279.33,0.298084,298.08
Electricity,kWh,5227.21,1.21794,1217.94
Electricity,kWh,7702.24,1.794622,1794.62
Electricity,kWh,2166.05,0.50469,504.69
Electricity,kWh,6232.68,1.452214,1452.21
Electricity,kWh,862.62,0.20099,200.99
Electricity,kWh,526.3,0.122628,122.63
Electricity,kWh,5318.23,1.239148,1239.15
Electricity,kWh,5410.94,1.260749,1260.75
Electricity,kWh,6377.92,1.486055,1486.06
Electricity,kWh,7263.65,1.69243,1692.43
Electricity,kWh,9758.76,2.273791,2273.79
Electricity,kWh,5167.84,1.204107,1204.11
Electricity,kWh,3236.34,0.754067,754.07
Electricity,kWh,7953.91,1.853261,1853.26
Electricity,kWh,2715.61,0.632737,632.74
Electricity,kWh,4395.32,1.02411,1024.11
Electricity,kWh,793.78,0.184951,184.95
Electricity,kWh,263.25,0.061337,61.34
Electricity,kWh,9626.86,2.243058,2243.06
Electricity,kWh,8361.44,1.948216,1948.22
Electricity,kWh,6962.78,1.622328,1622.33
Electricity,kWh,4095.44,0.954238,954.24
Electricity,kWh,1741.21,0.405702,405.7
Electricity,kWh,1572.81,0.366465,366.46
Electricity,kWh,2509.93,0.584814,584.81
Electricity,kWh,5496.77,1.280747,1280.75
Electricity,kWh,7148.81,1.665673,1665.67
Electricity,kWh,6605.37,1.539051,1539.05
Electricity,kWh,2806.54,0.653924,653.92
Electricity,kWh,9549.1,2.22494,2224.94
Electricity,kWh,7381.59,1.71991,1719.91
Electricity,kWh,5548.0,1.292684,1292.68
Electricity,kWh,6121.09,1.426214,1426.21
Electricity,kWh,4201.8,0.979019,979.02
Electricity,kWh,2484.83,0.578965,578.97
Electricity,kWh,3566.17,0.830918,830.92
Electricity,kWh,7580.88,1.766345,1766.35
Electricity,kWh,153.79,0.035833,35.83
Electricity,kWh,1169.57,0.27251,272.51
Electricity,kWh,469.57,0.10941,109.41
Electricity,kWh,416.88,0.097133,97.13
Electricity,kWh,8556.05,1.99356,1993.56
Electricity,kWh,7039.54,1.640213,1640.21
Electricity,kWh,4747.0,1.106051,1106.05
Electricity,kWh,987.36,0.230055,230.05
Electricity,kWh,4921.24,1.146649,1146.65
Electricity,kWh,4739.98,1.104415,1104.42
Electricity,kWh,1740.29,0.405488,405.49
Electricity,kWh,4344.18,1.012194,1012.19
Electricity,kWh,3991.06,0.929917,929.92
Electricity,kWh,6162.34,1.435825,1435.83
Electricity,kWh,6354.59,1.480619,1480.62
Electricity,kWh,462.59,0.107783,107.78
Electricity,kWh,3752.38,0.874305,874.3
Electricity,kWh,6262.34,1.459125,1459.13
Electricity,kWh,5036.33,1.173465,1173.46
Electricity,kWh,8566.33,1.995955,1995.95
Electricity,kWh,6590.35,1.535552,1535.55
Electricity,kWh,1637.71,0.381586,381.59
Electricity,kWh,714.98,0.16659,166.59
Electricity,kWh,6427.77,1.49767,1497.67
Electricity,kWh,274.85,0.06404,64.04
Electricity,kWh,5861.9,1.365823,1365.82
Electricity,kWh,9402.9,2.190876,2190.88
Electricity,kWh,5758.99,1.341845,1341.84
Electricity,kWh,3887.82,0.905862,905.86
Electricity,kWh,6436.45,1.499693,1499.69
Electricity,kWh,4587.95,1.068992,1068.99
Electricity,kWh,5460.71,1.272345,1272.35
Electricity,kWh,9415.23,2.193749,2193.75
Electricity,kWh,3867.17,0.901051,901.05
Electricity,kWh,9612.29,2.239664,2239.66
Electricity,kWh,9054.45,2.109687,2109.69
Electricity,kWh,1965.95,0.458066,458.07
Electricity,kWh,702.92,0.16378,163.78
Electricity,kWh,1016.77,0.236907,236.91
Electricity,kWh,192.04,0.044745,44.75
Electricity,kWh,953.49,0.222163,222.16
Electricity,kWh,6833.24,1.592145,1592.14
Electricity,kWh,721.17,0.168033,168.03
Electricity,kWh,3196.57,0.744801,744.8
Electricity,kWh,8450.3,1.96892,1968.92
Electricity,kWh,242.49,0.0565,56.5
Electricity,kWh,8146.54,1.898144,1898.14
Electricity,kWh,2825.73,0.658395,658.4
Electricity,kWh,1190.47,0.27738,277.38
Electricity,kWh,6970.4,1.624103,1624.1
Electricity,kWh,6293.14,1.466302,1466.3
Electricity,kWh,8775.95,2.044796,2044.8
Electricity,kWh,7353.36,1.713333,1713.33
Electricity,kWh,8036.77,1.872567,1872.57
Electricity,kWh,2827.53,0.658814,658.81
Electricity,kWh,1782.62,0.41535,415.35
Electricity,kWh,7508.64,1.749513,1749.51
Electricity,kWh,8070.28,1.880375,1880.38
Electricity,kWh,9905.15,2.3079,2307.9
Electricity,kWh,4132.05,0.962768,962.77
Electricity,kWh,3726.46,0.868265,868.27
Electricity,kWh,7766.37,1.809564,1809.56
Electricity,kWh,3414.63,0.795609,795.61
Electricity,kWh,9308.27,2.168827,2168.83
Electricity,kWh,8585.54,2.000431,2000.43
Electricity,kWh,4295.65,1.000886,1000.89
Electricity,kWh,7511.2,1.75011,1750.11
Electricity,kWh,7547.88,1.758656,1758.66
Electricity,kWh,1040.21,0.242369,242.37
Electricity,kWh,9026.5,2.103175,2103.17
Electricity,kWh,5057.47,1.178391,1178.39
Electricity,kWh,8266.31,1.92605,1926.05
Electricity,kWh,3207.3,0.747301,747.3
Electricity,kWh,8956.28,2.086813,2086.81
Electricity,kWh,3898.12,0.908262,908.26
Electricity,kWh,118.27,0.027557,27.56
Electricity,kWh,9054.77,2.109761,2109.76
Electricity,kWh,921.95,0.214814,214.81
Electricity,kWh,3199.94,0.745586,745.59
Electricity,kWh,9501.12,2.213761,2213.76
Electricity,kWh,9506.57,2.215031,2215.03
Electricity,kWh,5738.64,1.337103,1337.1
Electricity,kWh,6322.05,1.473038,1473.04
Electricity,kWh,4489.97,1.046163,1046.16
Electricity,kWh,2939.18,0.684829,684.83
Electricity,kWh,3293.36,0.767353,767.35
Electricity,kWh,6728.46,1.567731,1567.73
Electricity,kWh,7526.22,1.753609,1753.61
Electricity,kWh,7917.87,1.844864,1844.86
Electricity,kWh,7898.29,1.840302,1840.3
Electricity,kWh,921.15,0.214628,214.63
Electricity,kWh,4949.26,1.153178,1153.18
Electricity,kWh,585.01,0.136307,136.31
Electricity,kWh,5499.79,1.281451,1281.45
Electricity,kWh,4420.89,1.030067,1030.07
Electricity,kWh,8878.16,2.068611,2068.61
Electricity,kWh,3515.64,0.819144,819.14
Electricity,kWh,1179.5,0.274823,274.82
Electricity,kWh,1438.49,0.335168,335.17
Electricity,kWh,7617.49,1.774875,1774.88
Electricity,kWh,6186.0,1.441338,1441.34
Electricity,kWh,1020.22,0.237711,237.71
Electricity,kWh,850.23,0.198104,198.1
Electricity,kWh,7012.68,1.633954,1633.95
Electricity,kWh,736.9,0.171698,171.7
Electricity,kWh,8220.38,1.915349,1915.35
Electricity,kWh,7065.36,1.646229,1646.23
Electricity,kWh,822.67,0.191682,191.68
Electricity,kWh,857.53,0.199804,199.8
Electricity,kWh,9866.53,2.298901,2298.9
Electricity,kWh,3748.97,0.87351,873.51
Electricity,kWh,3712.72,0.865064,865.06
Electricity,kWh,8129.87,1.89426,1894.26
Electricity,kWh,9473.01,2.207211,2207.21
Electricity,kWh,9860.15,2.297415,2297.41
Electricity,kWh,7536.25,1.755946,1755.95
Electricity,kWh,3768.83,0.878137,878.14
Electricity,kWh,844.17,0.196692,196.69
Electricity,kWh,7773.7,1.811272,1811.27
Electricity,kWh,5588.46,1.302111,1302.11
Electricity,kWh,4247.98,0.989779,989.78
Electricity,kWh,9064.48,2.112024,2112.02
Electricity,kWh,1120.86,0.26116,261.16
Electricity,kWh,4931.32,1.148998,1149.0
Electricity,kWh,123.42,0.028757,28.76
Electricity,kWh,4691.92,1.093217,1093.22
Electricity,kWh,572.47,0.133386,133.39
Electricity,kWh,1196.99,0.278899,278.9
Electricity,kWh,1184.09,0.275893,275.89
Electricity,kWh,6495.61,1.513477,1513.48
Electricity,kWh,7462.99,1.738877,1738.88
Electricity,kWh,5837.85,1.360219,1360.22
Electricity,kWh,9622.1,2.241949,2241.95
Electricity,kWh,3754.96,0.874906,874.91
Electricity,kWh,2864.26,0.667373,667.37
Electricity,kWh,8687.31,2.024143,2024.14
Electricity,kWh,2243.72,0.522787,522.79
Electricity,kWh,9632.59,2.244393,2244.39
Electricity,kWh,131.42,0.030621,30.62
Electricity,kWh,9699.09,2.259888,2259.89
Electricity,kWh,441.17,0.102793,102.79
Electricity,kWh,8912.52,2.076617,2076.62
Electricity,kWh,5281.73,1.230643,1230.64
Electricity,kWh,9929.72,2.313625,2313.62
Electricity,kWh,747.23,0.174105,174.1
Electricity,kWh,5543.0,1.291519,1291.52
Electricity,kWh,9693.33,2.258546,2258.55
Electricity,kWh,5235.75,1.21993,1219.93
Electricity,kWh,6297.69,1.467362,1467.36
Electricity,kWh,6960.53,1.621803,1621.8
Electricity,kWh,4550.87,1.060353,1060.35
Electricity,kWh,6279.31,1.463079,1463.08
Electricity,kWh,5847.3,1.362421,1362.42
Electricity,kWh,9012.57,2.099929,2099.93
Electricity,kWh,464.01,0.108114,108.11
Electricity,kWh,2816.82,0.656319,656.32
Electricity,kWh,9504.61,2.214574,2214.57
Electricity,kWh,8903.74,2.074571,2074.57
Electricity,kWh,4562.01,1.062948,1062.95
Electricity,kWh,6205.12,1.445793,1445.79
Electricity,kWh,2781.04,0.647982,647.98
Electricity,kWh,1889.33,0.440214,440.21
Electricity,kWh,4642.35,1.081668,1081.67
Electricity,kWh,3539.99,0.824818,824.82
Electricity,kWh,5840.72,1.360888,1360.89
Electricity,kWh,786.57,0.183271,183.27
Electricity,kWh,9744.2,2.270399,2270.4
Electricity,kWh,9862.25,2.297904,2297.9
Electricity,kWh,6984.64,1.627421,1627.42
Electricity,kWh,5365.6,1.250185,1250.18
Electricity,kWh,3102.18,0.722808,722.81
Electricity,kWh,8139.81,1.896576,1896.58
Electricity,kWh,6850.46,1.596157,1596.16
Electricity,kWh,1634.54,0.380848,380.85
Electricity,kWh,9110.16,2.122667,2122.67
Electricity,kWh,8227.15,1.916926,1916.93
Electricity,kWh,9498.5,2.21315,2213.15
Electricity,kWh,7259.94,1.691566,1691.57
Electricity,kWh,6138.02,1.430159,1430.16
Electricity,kWh,4188.25,0.975862,975.86
Electricity,kWh,9327.96,2.173415,2173.41
Electricity,kWh,8661.98,2.018241,2018.24
Electricity,kWh,461.73,0.107583,107.58
Electricity,kWh,273.41,0.063705,63.7
Electricity,kWh,3770.87,0.878613,878.61
Electricity,kWh,8107.43,1.889031,1889.03
Electricity,kWh,9872.89,2.300383,2300.38
Electricity,kWh,1512.66,0.35245,352.45
Electricity,kWh,5945.37,1.385271,1385.27
Electricity,kWh,3815.1,0.888918,888.92
Electricity,kWh,9699.44,2.25997,2259.97
Electricity,kWh,8422.77,1.962505,1962.51
Electricity,kWh,8384.9,1.953682,1953.68
Electricity,kWh,4692.24,1.093292,1093.29
Electricity,kWh,4154.05,0.967894,967.89
Electricity,kWh,2741.34,0.638732,638.73
Electricity,kWh,573.19,0.133553,133.55
Electricity,kWh,8648.58,2.015119,2015.12
Electricity,kWh,8130.88,1.894495,1894.5
Electricity,kWh,9997.18,2.329343,2329.34
Electricity,kWh,9966.4,2.322171,2322.17
Electricity,kWh,5558.76,1.295191,1295.19
Electricity,kWh,7692.18,1.792278,1792.28
Electricity,kWh,9448.21,2.201433,2201.43
Electricity,kWh,8497.98,1.980029,1980.03
Electricity,kWh,2481.01,0.578075,578.08
Electricity,kWh,4510.94,1.051049,1051.05
Electricity,kWh,1300.3,0.30297,302.97
Electricity,kWh,9540.97,2.223046,2223.05
Electricity,kWh,6065.68,1.413303,1413.3
Electricity,kWh,2294.14,0.534535,534.53
Electricity,kWh,6720.29,1.565828,1565.83
Electricity,kWh,6185.1,1.441128,1441.13
Electricity,kWh,3588.05,0.836016,836.02
Electricity,kWh,1144.44,0.266655,266.65
Electricity,kWh,6719.02,1.565532,1565.53
Electricity,kWh,5207.87,1.213434,1213.43
Electricity,kWh,7725.46,1.800032,1800.03
Electricity,kWh,5206.43,1.213098,1213.1
Electricity,kWh,8523.29,1.985927,1985.93
Electricity,kWh,5523.55,1.286987,1286.99
Electricity,kWh,5613.77,1.308008,1308.01
Electricity,kWh,8767.77,2.04289,2042.89
Electricity,kWh,4040.79,0.941504,941.5
Electricity,kWh,1348.81,0.314273,314.27
Electricity,kWh,297.54,0.069327,69.33
Electricity,kWh,7553.82,1.76004,1760.04
Electricity,kWh,6206.89,1.446205,1446.21
Electricity,kWh,7043.76,1.641196,1641.2
Electricity,kWh,2137.51,0.49804,498.04
Electricity,kWh,1372.35,0.319758,319.76
Electricity,kWh,155.3,0.036185,36.18
Electricity,kWh,3512.37,0.818382,818.38
Electricity,kWh,5903.28,1.375464,1375.46
Electricity,kWh,3928.52,0.915345,915.35
Electricity,kWh,4380.37,1.020626,1020.63
Electricity,kWh,9042.55,2.106914,2106.91
Electricity,kWh,3489.07,0.812953,812.95
Electricity,kWh,5144.75,1.198727,1198.73
Electricity,kWh,7838.69,1.826415,1826.41
Electricity,kWh,3971.46,0.92535,925.35
Electricity,kWh,6224.65,1.450343,1450.34
Electricity,kWh,8625.01,2.009627,2009.63
Electricity,kWh,9495.71,2.2125,2212.5
Electricity,kWh,1479.26,0.344668,344.67
Electricity,kWh,9266.61,2.15912,2159.12
Electricity,kWh,4926.24,1.147814,1147.81
Electricity,kWh,2589.86,0.603437,603.44
Electricity,kWh,4596.77,1.071047,1071.05
Electricity,kWh,9800.53,2.283523,2283.52
Electricity,kWh,4931.25,1.148981,1148.98
Electricity,kWh,3294.23,0.767556,767.56
Electricity,kWh,6337.67,1.476677,1476.68
Electricity,kWh,2409.05,0.561309,561.31
Electricity,kWh,767.87,0.178914,178.91
Electricity,kWh,1297.51,0.30232,302.32
Electricity,kWh,1289.18,0.300379,300.38
Electricity,kWh,1527.51,0.35591,355.91
Electricity,kWh,1396.88,0.325473,325.47
Electricity,kWh,6412.34,1.494075,1494.08
